Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
18,48000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
18,45000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
20,25000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
7,12000,National Park,Cool,Van,"Galway�s Land National Park, Nuwara Eliya"
14,50000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
7,25000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
25,38000,Beach,Warm,Public Transport,"Weligama Beach, Weligama"
1,65000,Desert,Hot,Car,"Delft Island, Jaffna"
3,180000,Beach,Warm,Rosa Bus,"Weligama Beach, Weligama"
5,15000,Historical Site,Cool,Car,"Seetha Amman Temple, Nuwara Eliya"
13,18000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
11,18000,Beach,Warm,Public Transport,"Mirissa Beach, Mirissa"
4,40000,Mountains,Cool,Public Transport,"Thotupola Kanda, Nuwara Eliya"
19,65000,National Park,Warm,Bikes,"Yala National Park, Yala"
3,150000,Forest,Tropical,Van,"Badulla Forest, Badulla"
20,130000,City,Hot,Bikes,"Jaffna City, Jaffna"
12,35000,Lakeside,Moderate,Bikes,"Bolgoda Lake, Colombo"
9,55000,Lakeside,Moderate,Public Transport,"Koggala Lake, Koggala"
1,200000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
6,160000,Beach,Warm,Public Transport,"Mirissa Beach, Mirissa"
1,60000,Beach,Warm,Bikes,"Uppuveli Beach, Trincomalee"
4,80000,Mountains,Cool,Car,"Diyatalawa, Badulla"
4,12000,Historical Site,Moderate,Car,"Sigiriya Rock Fortress, Sigiriya"
11,120000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
11,110000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
16,40000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
19,90000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
8,17000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
15,85000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
3,22000,Desert,Hot,Bikes,"Delft Island, Jaffna"
11,18000,Desert,Hot,Van,"Delft Island, Jaffna"
24,140000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
14,20000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,130000,Forest,Tropical,Bikes,"Badulla Forest, Badulla"
5,70000,Historical Site,Moderate,Public Transport,"Jetavanaramaya, Anuradhapura"
13,75000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
1,8000,City,Moderate,Bikes,"Badulla City, Badulla"
21,100000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
18,65000,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
9,140000,Mountains,Cool,Public Transport,"Lipton�s Seat, Haputale"
3,35000,Beach,Warm,Bikes,"Hiriketiya Beach, Dickwella"
9,17000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
19,150000,Beach,Warm,Bikes,"Negombo Beach, Negombo"
12,50000,Forest,Tropical,Van,"Kottawa Arboretum, Galle"
21,25000,Mountains,Warm,Public Transport,"Ritigala, Ritigala"
13,25000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
23,75000,City,Hot,Bikes,"Jaffna City, Jaffna"
25,70000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
9,15000,City,Moderate,Rosa Bus,"Badulla City, Badulla"
23,50000,City,Hot,Public Transport,"Jaffna City, Jaffna"
14,160000,Beach,Warm,Rosa Bus,"Marble Beach, Trincomalee"
4,70000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
15,60000,Beach,Warm,Bikes,"Rekawa Beach, Hambantota"
9,19000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
15,30000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
5,68000,Mountains,Cool,Public Transport,"Diyatalawa, Badulla"
16,30000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
2,2500,Mountains,Cool,Car,"Ella Rock, Ella"
6,90000,City,Hot,Bikes,"Jaffna City, Jaffna"
22,180000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
1,3400,Beach,Warm,Bikes,"Rekawa Beach, Hambantota"
15,50000,City,Hot,Bikes,"Jaffna City, Jaffna"
6,190000,Beach,Warm,Van,"Dickwella Beach, Dickwella"
2,12000,Mountains,Cool,Public Transport,"Adam's Peak, Hatton"
20,80000,Beach,Warm,Public Transport,"Beruwala Beach, Beruwala"
10,40000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
6,80000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
24,35000,Beach,Warm,Public Transport,"Mount Lavinia Beach, Mount Lavinia"
12,130000,City,Moderate,Van,"Colombo City, Colombo"
19,70000,Forest,Tropical,Public Transport,"Meemure, Kandy"
18,30000,Beach,Warm,Public Transport,"Hiriketiya Beach, Dickwella"
22,120000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
4,40000,Beach,Warm,Rosa Bus,"Unawatuna Beach, Galle"
19,24000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
23,30000,City,Moderate,Public Transport,"Badulla City, Badulla"
1,50000,Mountains,Cool,Public Transport,"Thotupola Kanda, Nuwara Eliya"
15,110000,Lakeside,Moderate,Bikes,"Beira Lake, Colombo"
22,70000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
17,45000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
9,35000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Kandy"
7,90000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
15,90000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
10,24000,Mountains,Cool,Rosa Bus,"Hunas Falls, Kandy"
21,40000,Mountains,Cool,Rosa Bus,"Kirigalpotta, Nuwara Eliya"
20,25000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
22,58000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
3,80000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
7,190000,Desert,Hot,Bikes,"Delft Island, Jaffna"
2,50000,Beach,Warm,Car,"Weligama Beach, Weligama"
11,120000,Mountains,Cool,Public Transport,"Demodara Loop, Ella"
8,19000,Mountains,Cool,Van,"Horton Plains National Park, Nuwara Eliya"
4,44000,Forest,Tropical,Van,"Makandawa Forest Reserve, Kitulgala"
23,68000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
3,50000,Mountains,Cool,Car,"Thotupola Kanda, Nuwara Eliya"
3,11000,Lakeside,Moderate,Van,"Bolgoda Lake, Colombo"
6,170000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
11,30000,Desert,Hot,Bikes,"Delft Island, Jaffna"
22,140000,Mountains,Cool,Bikes,"Little Adam's Peak, Ella"
7,45000,National Park,Warm,Bikes,"Udawalawe National Park, Udawalawe"
5,130000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
4,28000,National Park,Warm,Public Transport,"Gal Oya National Park, Ampara"
1,2900,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
25,100000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,100000,Mountains,Cool,Public Transport,"Devon Falls, Nuwara Eliya"
3,45000,City,Moderate,Rosa Bus,"Matara City, Matara"
22,75000,Forest,Tropical,Bikes,"Meemure, Kandy"
17,68000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
14,20000,Historical Site,Cool,Bikes,"Seetha Amman Temple, Nuwara Eliya"
18,150000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
11,40000,Beach,Warm,Public Transport,"Uppuveli Beach, Trincomalee"
5,48000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
17,33000,Mountains,Cool,Public Transport,"Hunas Falls, Kandy"
7,60000,Forest,Tropical,Van,"Bopath Ella, Kuruwita"
1,100000,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
18,33000,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
12,70000,Mountains,Cool,Rosa Bus,"Horton Plains National Park, Nuwara Eliya"
25,40000,Lakeside,Moderate,Rosa Bus,"Sorabora Wewa, Mahiyanganaya"
7,150000,Historical Site,Cool,Bikes,"Seetha Amman Temple, Nuwara Eliya"
16,70000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
1,3300,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
1,8000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
4,6000,National Park,Warm,Rosa Bus,"Kaudulla National Park, Polonnaruwa"
18,75000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
2,19000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
16,65000,Beach,Warm,Bikes,"Nilaveli Beach, Trincomalee"
25,90000,Historical Site,Moderate,Public Transport,"Sigiriya Rock Fortress, Sigiriya"
12,90000,Historical Site,Cool,Van,"Seetha Amman Temple, Nuwara Eliya"
5,170000,Lakeside,Moderate,Bikes,"Bolgoda Lake, Colombo"
6,8000,City,Moderate,Van,"Kurunegala City, Kurunegala"
9,22000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
5,150000,Beach,Warm,Van,"Beruwala Beach, Beruwala"
20,38000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
4,28000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
5,65000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,150000,Desert,Hot,Car,"Delft Island, Jaffna"
6,13000,Beach,Warm,Public Transport,"Bentota Beach, Bentota"
23,90000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,13000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
15,30000,City,Moderate,Bikes,"Colombo City, Colombo"
6,60000,Beach,Warm,Van,"Weligama Beach, Weligama"
13,20000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
25,55000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
3,11000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
2,17000,City,Moderate,Car,"Badulla City, Badulla"
12,40000,Beach,Warm,Bikes,"Hiriketiya Beach, Dickwella"
7,25000,Beach,Warm,Van,"Marble Beach, Trincomalee"
22,38000,Forest,Tropical,Bikes,"Kanneliya Forest Reserve, Galle"
25,65000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
15,18000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
11,55000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
5,20000,Desert,Hot,Bikes,"Delft Island, Jaffna"
11,90000,Historical Site,Moderate,Van,"Kuttam Pokuna, Anuradhapura"
10,170000,Beach,Warm,Rosa Bus,"Nilaveli Beach, Trincomalee"
20,180000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
6,130000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
18,180000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
17,140000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
5,9000,Mountains,Cool,Car,"Lipton�s Seat, Haputale"
25,58000,Beach,Warm,Public Transport,"Passekudah Beach, Passekudah"
11,30000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
8,16000,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
17,68000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
25,180000,Mountains,Cool,Rosa Bus,"Nine Arches Bridge, Ella"
21,80000,Lakeside,Moderate,Bikes,"Beira Lake, Colombo"
12,24000,Beach,Warm,Van,"Polhena Beach, Matara"
9,110000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
2,9000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
17,190000,City,Moderate,Bikes,"Galle City, Galle"
8,110000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
19,70000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
23,25000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
6,28000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
18,90000,Lakeside,Moderate,Public Transport,"Beira Lake, Colombo"
9,48000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
18,170000,Beach,Warm,Bikes,"Nilaveli Beach, Trincomalee"
3,13000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
24,130000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
25,44000,Mountains,Cool,Public Transport,"Horton Plains National Park, Nuwara Eliya"
6,50000,Beach,Warm,Van,"Bentota Beach, Bentota"
2,38000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
5,100000,Historical Site,Cool,Car,"Seetha Amman Temple, Nuwara Eliya"
1,65000,Beach,Warm,Public Transport,"Marble Beach, Trincomalee"
2,8000,Beach,Warm,Rosa Bus,"Hikkaduwa Beach, Hikkaduwa"
24,40000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
19,24000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
2,11000,Mountains,Cool,Public Transport,"Ravana Falls, Ella"
12,190000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
4,16000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
4,35000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
15,18000,Mountains,Warm,Public Transport,"Pidurangala, Sigiriya"
14,55000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
3,75000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
1,2000,Beach,Warm,Rosa Bus,"Hikkaduwa Beach, Hikkaduwa"
14,180000,Beach,Warm,Public Transport,"Mirissa Beach, Mirissa"
14,44000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
17,180000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
9,20000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
25,48000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
12,200000,Mountains,Cool,Public Transport,"Lipton�s Seat, Haputale"
18,58000,Desert,Hot,Bikes,"Delft Island, Jaffna"
10,65000,City,Moderate,Public Transport,"Colombo City, Colombo"
5,58000,Historical Site,Moderate,Van,"Dambulla Cave Temple, Dambulla"
1,2000,City,Moderate,Bikes,"Galle City, Galle"
14,35000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
20,150000,Mountains,Cool,Bikes,"Demodara Loop, Ella"
14,100000,Historical Site,Moderate,Public Transport,"Thuparamaya, Anuradhapura"
12,130000,Mountains,Cool,Rosa Bus,"Kirigalpotta, Nuwara Eliya"
4,7000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
19,40000,Beach,Warm,Rosa Bus,"Uppuveli Beach, Trincomalee"
16,45000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
12,60000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
2,17000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
20,55000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
20,85000,Mountains,Cool,Rosa Bus,"Little Adam's Peak, Ella"
4,8000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
4,19000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
7,24000,National Park,Warm,Public Transport,"Gal Oya National Park, Ampara"
17,24000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
4,24000,Beach,Warm,Bikes,"Uppuveli Beach, Trincomalee"
7,170000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,50000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
15,70000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
13,160000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
6,12000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
9,80000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
5,13000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
15,130000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
10,18000,National Park,Warm,Bikes,"Wasgamuwa National Park, Wasgamuwa"
2,85000,National Park,Warm,Rosa Bus,"Yala National Park, Yala"
10,20000,Beach,Warm,Van,"Negombo Beach, Negombo"
23,120000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
23,100000,Beach,Warm,Bikes,"Beruwala Beach, Beruwala"
17,33000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
5,100000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
23,50000,City,Moderate,Bikes,"Badulla City, Badulla"
14,38000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
12,110000,Mountains,Cool,Public Transport,"Nine Arches Bridge, Ella"
9,25000,Beach,Warm,Rosa Bus,"Beruwala Beach, Beruwala"
13,14000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
5,80000,National Park,Warm,Public Transport,"Yala National Park, Yala"
1,1500,Lakeside,Moderate,Van,"Handapanagala Lake, Wellawaya"
4,50000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
1,2100,Mountains,Cool,Van,"Adam's Peak, Hatton"
6,6000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
23,80000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
5,190000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
7,40000,Forest,Tropical,Van,"Kottawa Arboretum, Galle"
16,75000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
2,6000,Beach,Warm,Bikes,"Mirissa Beach, Mirissa"
20,60000,National Park,Warm,Rosa Bus,"Kaudulla National Park, Polonnaruwa"
12,190000,National Park,Warm,Van,"Gal Oya National Park, Ampara"
8,180000,Beach,Warm,Bikes,"Hiriketiya Beach, Dickwella"
1,2750,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
4,48000,Forest,Tropical,Van,"Badulla Forest, Badulla"
6,100000,Forest,Tropical,Bikes,"Meemure, Kandy"
19,58000,Beach,Warm,Rosa Bus,"Weligama Beach, Weligama"
6,17000,Beach,Warm,Van,"Beruwala Beach, Beruwala"
3,30000,Historical Site,Moderate,Van,"Mihintale, Mihintale"
22,75000,Desert,Hot,Bikes,"Delft Island, Jaffna"
20,40000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
21,120000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
4,120000,Mountains,Cool,Car,"Baker's Falls, Horton Plains"
3,25000,Lakeside,Moderate,Van,"Koggala Lake, Koggala"
24,33000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
24,33000,Lakeside,Moderate,Public Transport,"Koggala Lake, Koggala"
6,35000,Beach,Warm,Public Transport,"Bentota Beach, Bentota"
17,200000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
3,24000,National Park,Warm,Rosa Bus,"Kaudulla National Park, Polonnaruwa"
21,90000,National Park,Warm,Public Transport,"Gal Oya National Park, Ampara"
2,80000,Historical Site,Moderate,Car,"Sigiriya Rock Fortress, Sigiriya"
25,190000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
15,85000,City,Warm,Bikes,"Trincomalee City, Trincomalee"
2,170000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
9,11000,Mountains,Cool,Rosa Bus,"Demodara Loop, Ella"
9,24000,Desert,Hot,Bikes,"Delft Island, Jaffna"
18,200000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
3,65000,Beach,Warm,Bikes,"Rekawa Beach, Hambantota"
25,120000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
9,120000,Forest,Tropical,Public Transport,"Dunhinda Falls, Badulla"
4,170000,Lakeside,Moderate,Car,"Madu River, Balapitiya"
4,170000,Lakeside,Moderate,Rosa Bus,"Sorabora Wewa, Mahiyanganaya"
4,80000,National Park,Warm,Van,"Gal Oya National Park, Ampara"
8,22000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
6,9000,Forest,Tropical,Rosa Bus,"Hiyare Reservoir, Galle"
9,65000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
4,190000,Lakeside,Moderate,Car,"Koggala Lake, Koggala"
14,20000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
25,70000,Mountains,Cool,Rosa Bus,"Kirigalpotta, Nuwara Eliya"
6,70000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
19,33000,Forest,Tropical,Public Transport,"Meemure, Kandy"
7,90000,City,Moderate,Van,"Kurunegala City, Kurunegala"
24,80000,City,Moderate,Public Transport,"Kandy City, Kandy"
6,180000,Forest,Tropical,Van,"Bopath Ella, Kuruwita"
4,5000,Mountains,Cool,Van,"Nine Arches Bridge, Ella"
16,100000,City,Cool,Rosa Bus,"Nuwara Eliya City, Nuwara Eliya"
16,48000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
7,100000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
16,19000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
19,68000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
19,130000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
1,17000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
22,85000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
6,85000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
6,60000,Desert,Hot,Bikes,"Delft Island, Jaffna"
17,48000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
2,110000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
7,15000,Mountains,Cool,Public Transport,"Little Adam's Peak, Ella"
8,55000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
10,140000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
8,90000,Beach,Warm,Van,"Hiriketiya Beach, Dickwella"
5,8000,Mountains,Cool,Rosa Bus,"Horton Plains National Park, Nuwara Eliya"
11,25000,National Park,Warm,Bikes,"Yala National Park, Yala"
11,58000,Historical Site,Moderate,Bikes,"Galle Fort, Galle"
8,70000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
9,100000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
24,80000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
7,200000,City,Moderate,Van,"Negombo City, Negombo"
3,12000,Mountains,Warm,Van,"Pidurangala, Sigiriya"
3,75000,Historical Site,Moderate,Car,"Dambulla Cave Temple, Dambulla"
4,25000,Mountains,Cool,Public Transport,"Diyatalawa, Badulla"
17,22000,Desert,Hot,Bikes,"Delft Island, Jaffna"
25,85000,Historical Site,Moderate,Public Transport,"Sigiriya Rock Fortress, Sigiriya"
3,15000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
18,160000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
15,65000,Mountains,Cool,Public Transport,"Baker's Falls, Horton Plains"
12,90000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
17,110000,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
18,38000,Mountains,Cool,Public Transport,"Thotupola Kanda, Nuwara Eliya"
1,85000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
4,130000,City,Moderate,Car,"Kandy City, Kandy"
4,75000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
15,100000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
7,140000,Desert,Hot,Bikes,"Delft Island, Jaffna"
2,2300,Historical Site,Moderate,Van,"Manavari Temple, Chilaw"
7,16000,National Park,Warm,Bikes,"Yala National Park, Yala"
7,25000,Desert,Hot,Bikes,"Delft Island, Jaffna"
11,14000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
5,50000,City,Moderate,Bikes,"Kandy City, Kandy"
4,120000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
5,17000,Forest,Tropical,Car,"Kottawa Arboretum, Galle"
21,140000,Historical Site,Moderate,Public Transport,"Sigiriya Rock Fortress, Sigiriya"
1,22000,Mountains,Cool,Van,"Hunas Falls, Kandy"
25,150000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
17,70000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
1,2400,City,Moderate,Bikes,"Kandy City, Kandy"
7,18000,Desert,Hot,Van,"Delft Island, Jaffna"
9,65000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
5,15000,Desert,Hot,Van,"Delft Island, Jaffna"
22,190000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
18,80000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
7,100000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
1,3500,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
22,30000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
13,65000,City,Cool,Rosa Bus,"Nuwara Eliya City, Nuwara Eliya"
20,140000,Desert,Hot,Bikes,"Delft Island, Jaffna"
24,28000,Desert,Hot,Bikes,"Delft Island, Jaffna"
4,11000,City,Moderate,Car,"Kandy City, Kandy"
12,200000,Forest,Tropical,Bikes,"Meemure, Kandy"
10,18000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
11,110000,Beach,Warm,Public Transport,"Rekawa Beach, Hambantota"
6,14000,Desert,Hot,Van,"Delft Island, Jaffna"
20,38000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
18,85000,Beach,Warm,Rosa Bus,"Passekudah Beach, Passekudah"
17,25000,Desert,Hot,Bikes,"Delft Island, Jaffna"
2,3400,Desert,Hot,Van,"Delft Island, Jaffna"
1,60000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
6,100000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
12,18000,Desert,Hot,Van,"Delft Island, Jaffna"
15,55000,City,Moderate,Rosa Bus,"Matara City, Matara"
25,50000,Mountains,Warm,Rosa Bus,"Pidurangala, Sigiriya"
16,100000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
21,25000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
1,24000,Beach,Warm,Public Transport,"Hikkaduwa Beach, Hikkaduwa"
24,80000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Kandy"
13,44000,City,Moderate,Public Transport,"Colombo City, Colombo"
7,22000,Beach,Warm,Public Transport,"Rekawa Beach, Hambantota"
10,80000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
23,45000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
8,60000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
11,18000,Forest,Tropical,Public Transport,"Dunhinda Falls, Badulla"
