Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Wildlife,Galle,"Kumana National Park, Ampara",Warm,17,166000,2-star hotel,9,Ampara
Historical,Gampaha,"Munneswaram Temple, Chilaw",Warm,17,51000,cottage,3,Puttalam
Wildlife,Batticaloa,"Hurulu Eco Park, Polonnaruwa",Warm,9,43000,guest houses,5,Polonnaruwa
Forest,Anuradhapura,"Kottawa Arboretum, Galle",Tropical,20,42000,other,4,Galle
Wildlife,Matale,"Kaudulla National Park, Polonnaruwa",Warm,2,6000,camping,6,Polonnaruwa
Historical,Vavuniya,"Ambuluwawa Temple, Gampola",Moderate,22,89000,3-star hotel,3,Kandy
Mountains,Monaragala,"Knuckles Mountain Range, Matale",Cool,24,100000,2-star hotel,5,Matale
Lakeside,Mullaitivu,"Madu River, Balapitiya",Moderate,2,10000,cottage,4,Galle
Wildlife,Galle,"Wasgomuwa National Park, Matale",Warm,4,63000,5-star hotel,7,Matale
Historical,Gampaha,"Yapahuwa Rock Fortress, Yapahuwa",Warm,21,26000,other,2,Kurunegala
Historical,Kalutara,"Yapahuwa Rock Fortress, Yapahuwa",Warm,1,1000,3-star hotel,1,Kurunegala
Cultural,Mannar,"Yapahuwa Rock Fortress, Yapahuwa",Warm,7,9000,villa,1,Kurunegala
Historical,Badulla,"Ambuluwawa Temple, Gampola",Moderate,18,218000,3-star hotel,9,Kandy
Cultural,Ampara,"Polonnaruwa Ruins, Polonnaruwa",Warm,13,105000,2-star hotel,9,Polonnaruwa
Cultural,Batticaloa,"Isurumuniya, Anuradhapura",Warm,22,370000,5-star hotel,7,Anuradhapura
Historical,Matara,"Abhayagiri Dagaba, Anuradhapura",Warm,8,15000,guest houses,2,Anuradhapura
Lakeside,Ratnapura,"Kandy Lake, Kandy",Moderate,5,43000,guest houses,9,Kandy
Historical,Trincomalee,"Munneswaram Temple, Chilaw",Warm,14,112000,villa,7,Puttalam
Forest,Kilinochchi,"Hiyare Reservoir, Galle",Tropical,20,190000,3-star hotel,9,Galle
Mountains,Matale,"Nine Arches Bridge, Ella",Cool,24,55000,camping,6,Badulla
Forest,Matale,"Sinharaja Forest Reserve, Deniyaya",Tropical,9,24000,other,4,Matara
Lakeside,Gampaha,"Bolgoda Lake, Colombo",Moderate,11,82000,guest houses,9,Colombo
Historical,Kilinochchi,"Sigiriya, Sigiriya",Warm,17,209000,3-star hotel,8,Matale
Forest,Jaffna,"Dunhinda Falls, Badulla",Tropical,17,99000,guest houses,7,Badulla
Forest,Polonnaruwa,"Kanneliya Forest Reserve, Galle",Tropical,24,55000,guest houses,3,Galle
Wildlife,Batticaloa,"Hurulu Eco Park, Polonnaruwa",Warm,23,230000,cottage,8,Polonnaruwa
Wildlife,Galle,"Pigeon Island National Park, Trincomalee",Warm,9,21000,4-star hotel,1,Trincomalee
Cultural,Batticaloa,"Yapahuwa Rock Fortress, Yapahuwa",Warm,21,140000,4-star hotel,4,Kurunegala
Beach,Mannar,"Mirissa Beach, Mirissa",Warm,6,16000,cottage,2,Matara
Beach,Anuradhapura,"Mount Lavinia Beach, Mount Lavinia",Warm,9,18000,other,3,Colombo
Mountains,Anuradhapura,"Diyatalawa, Badulla",Cool,10,58000,5-star hotel,3,Badulla
Forest,Matara,"Bopath Ella, Kuruwita",Tropical,20,70000,guest houses,5,Ratnapura
Mountains,Vavuniya,"Knuckles Mountain Range, Matale",Cool,13,38000,camping,7,Matale
Wildlife,Vavuniya,"Wilpattu National Park, Anuradhapura",Warm,16,122000,guest houses,7,Anuradhapura
Lakeside,Ratnapura,"Victoria Reservoir, Kandy",Moderate,9,24000,camping,6,Kandy
Mountains,Puttalam,"Kabaragala, Nawalapitiya",Cool,5,67000,4-star hotel,8,Nuwara Eliya
Historical,Jaffna,"Thuparamaya, Anuradhapura",Warm,11,48000,other,6,Anuradhapura
Historical,Kilinochchi,"Ambuluwawa Temple, Gampola",Moderate,22,59000,camping,6,Kandy
Mountains,Galle,"Kirigalpotta, Nuwara Eliya",Cool,21,363000,4-star hotel,9,Nuwara Eliya
Mountains,Ampara,"Little Adam's Peak, Ella",Cool,6,34000,4-star hotel,4,Badulla
Forest,Kurunegala,"Yagirala Forest Reserve, Kalutara",Tropical,10,50000,cottage,5,Kalutara
Wildlife,Anuradhapura,"Wasgomuwa National Park, Matale",Warm,8,19000,cottage,2,Matale
Wildlife,Vavuniya,"Horton Plains National Park, Nuwara Eliya",Cool,12,135000,cottage,9,Nuwara Eliya
Mountains,Anuradhapura,"Ella Rock, Ella",Cool,16,25000,camping,4,Badulla
Historical,Kilinochchi,"Polonnaruwa Ruins, Polonnaruwa",Warm,14,25000,guest houses,2,Polonnaruwa
Mountains,Trincomalee,"Adam's Peak, Hatton",Cool,6,62000,villa,9,Nuwara Eliya
Lakeside,Kurunegala,"Nuwara Wewa, Anuradhapura",Moderate,13,104000,cottage,8,Anuradhapura
Cultural,Ampara,"Galle Fort, Galle",Warm,1,7000,other,9,Galle
Historical,Hambantota,"Munneswaram Temple, Chilaw",Warm,17,137000,3-star hotel,7,Puttalam
Lakeside,Matara,"Sorabora Wewa, Mahiyanganaya",Moderate,9,121000,5-star hotel,7,Badulla
Mountains,Vavuniya,"Kirigalpotta, Nuwara Eliya",Cool,22,127000,guest houses,6,Nuwara Eliya
Mountains,Matale,"Kabaragala, Nawalapitiya",Cool,20,174000,villa,7,Nuwara Eliya
Mountains,Kurunegala,"Pidurangala, Sigiriya",Warm,5,10000,villa,2,Matale
Historical,Mullaitivu,"Jethawanaramaya, Anuradhapura",Warm,4,20000,cottage,4,Anuradhapura
Forest,Kilinochchi,"Badulla Forest, Badulla",Tropical,24,92000,2-star hotel,5,Badulla
Lakeside,Galle,"Randenigala Dam, Kandy",Moderate,22,103000,other,7,Kandy
Beach,Matara,"Negombo Beach, Negombo",Warm,4,5000,other,2,Gampaha
Wildlife,Batticaloa,"Pigeon Island National Park, Trincomalee",Warm,24,41000,villa,1,Trincomalee
Beach,Matara,"Uppuveli Beach, Trincomalee",Warm,10,69000,3-star hotel,4,Trincomalee
Lakeside,Ampara,"Sorabora Wewa, Mahiyanganaya",Moderate,12,55000,villa,4,Badulla
Beach,Colombo,"Uppuveli Beach, Trincomalee",Warm,19,66000,other,4,Trincomalee
Lakeside,Vavuniya,"Tissa Wewa, Tissamaharama",Moderate,1,11000,4-star hotel,7,Hambantota
Cultural,Monaragala,"Gangaramaya Temple, Colombo",Warm,16,140000,3-star hotel,7,Colombo
Beach,Trincomalee,"Mirissa Beach, Mirissa",Warm,16,98000,2-star hotel,6,Matara
Forest,Kalutara,"Sinharaja Forest Reserve, Deniyaya",Tropical,8,161000,5-star hotel,9,Matara
Wildlife,Ratnapura,"Pigeon Island National Park, Trincomalee",Warm,1,7000,villa,4,Trincomalee
Historical,Kurunegala,"Temple of the Tooth, Kandy",Moderate,24,129000,4-star hotel,3,Kandy
Historical,Galle,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,18,7000,camping,1,Colombo
Cultural,Matara,"Dambulla Cave Temple, Dambulla",Warm,24,32000,villa,1,Matale
Forest,Mullaitivu,"Kithulgala Forest Reserve, Kegalle",Tropical,15,25000,camping,4,Kegalle
Cultural,Hambantota,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,22,109000,villa,4,Colombo
Beach,Kalutara,"Arugam Bay, Ampara",Warm,11,25000,2-star hotel,2,Ampara
Historical,Kegalle,"Sigiriya, Sigiriya",Warm,8,16000,camping,4,Matale
Cultural,Hambantota,"Anuradhapura Sacred City, Anuradhapura",Warm,16,46000,camping,6,Anuradhapura
Wildlife,Ratnapura,"Kumana National Park, Ampara",Warm,12,26000,4-star hotel,1,Ampara
Beach,Kegalle,"Mount Lavinia Beach, Mount Lavinia",Warm,23,247000,3-star hotel,8,Colombo
Beach,Matale,"Hiriketiya Beach, Dickwella",Warm,10,10000,guest houses,1,Matara
Wildlife,Gampaha,"Udawalawe National Park, Ratnapura",Warm,22,190000,guest houses,9,Ratnapura
Forest,Matara,"Knuckles Forest Reserve, Kandy",Tropical,9,32000,4-star hotel,2,Kandy
Historical,Gampaha,"Temple of the Tooth, Kandy",Moderate,20,121000,other,9,Kandy
Historical,Vavuniya,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,24,150000,5-star hotel,3,Colombo
Mountains,Galle,"Adam's Peak, Hatton",Cool,21,161000,5-star hotel,4,Nuwara Eliya
Beach,Kalutara,"Hiriketiya Beach, Dickwella",Warm,3,3000,camping,2,Matara
Beach,Batticaloa,"Uppuveli Beach, Trincomalee",Warm,8,110000,villa,8,Trincomalee
Wildlife,Colombo,"Wasgamuwa National Park, Matale",Warm,15,100000,villa,5,Matale
Cultural,Colombo,"Anuradhapura Sacred City, Anuradhapura",Warm,19,18000,guest houses,1,Anuradhapura
Beach,Anuradhapura,"Uppuveli Beach, Trincomalee",Warm,20,210000,cottage,7,Trincomalee
Lakeside,Polonnaruwa,"Handapanagala Lake, Wellawaya",Moderate,21,30000,4-star hotel,1,Monaragala
Cultural,Trincomalee,"Thuparamaya, Anuradhapura",Warm,1,6000,2-star hotel,6,Anuradhapura
Beach,Anuradhapura,"Hiriketiya Beach, Dickwella",Warm,18,389000,5-star hotel,9,Matara
Lakeside,Anuradhapura,"Kantale Lake, Trincomalee",Moderate,18,162000,cottage,9,Trincomalee
Lakeside,Kilinochchi,"Handapanagala Lake, Wellawaya",Moderate,12,38000,camping,9,Monaragala
Forest,Badulla,"Bopath Ella, Kuruwita",Tropical,24,38000,other,3,Ratnapura
Lakeside,Hambantota,"Sorabora Wewa, Mahiyanganaya",Moderate,21,40000,camping,5,Badulla
Beach,Ratnapura,"Arugam Bay, Ampara",Warm,23,119000,3-star hotel,3,Ampara
Lakeside,Matara,"Nuwara Wewa, Anuradhapura",Moderate,8,83000,3-star hotel,9,Anuradhapura
Wildlife,Batticaloa,"Gal Oya National Park, Ampara",Warm,24,86000,camping,7,Ampara
Historical,Anuradhapura,"Temple of the Tooth, Kandy",Moderate,17,91000,other,8,Kandy
Wildlife,Mannar,"Pigeon Island National Park, Trincomalee",Warm,22,227000,villa,6,Trincomalee
Cultural,Monaragala,"Sigiriya, Sigiriya",Warm,12,86000,2-star hotel,7,Matale
Wildlife,Monaragala,"Gal Oya National Park, Ampara",Warm,20,80000,cottage,3,Ampara
Beach,Nuwara Eliya,"Hikkaduwa Beach, Hikkaduwa",Warm,3,30000,villa,7,Galle
Forest,Mannar,"Meemure, Kandy",Tropical,20,99000,villa,4,Kandy
Historical,Ampara,"Jethawanaramaya, Anuradhapura",Warm,10,115000,3-star hotel,8,Anuradhapura
Cultural,Galle,"Mihintale, Anuradhapura",Warm,13,56000,villa,3,Anuradhapura
Historical,Galle,"Sri Maha Bodhi, Anuradhapura",Warm,22,317000,5-star hotel,6,Anuradhapura
Forest,Mannar,"Badulla Forest, Badulla",Tropical,14,65000,guest houses,6,Badulla
Lakeside,Trincomalee,"Girithale Wewa, Polonnaruwa",Moderate,6,12000,camping,5,Polonnaruwa
Cultural,Colombo,"Jethawanaramaya, Anuradhapura",Warm,4,17000,3-star hotel,3,Anuradhapura
Historical,Nuwara Eliya,"Lovamahapaya, Anuradhapura",Warm,6,67000,cottage,9,Anuradhapura
Cultural,Anuradhapura,"Kataragama Temple, Kataragama",Warm,12,108000,4-star hotel,5,Hambantota
Cultural,Galle,"Polonnaruwa Ruins, Polonnaruwa",Warm,20,210000,cottage,9,Polonnaruwa
Historical,Galle,"Kataragama Temple, Kataragama",Warm,3,19000,guest houses,7,Hambantota
Forest,Ratnapura,"Sinharaja Forest Reserve, Deniyaya",Tropical,15,168000,5-star hotel,5,Matara
Historical,Anuradhapura,"Sigiriya, Sigiriya",Warm,20,20000,guest houses,1,Matale
Mountains,Kurunegala,"Knuckles Mountain Range, Matale",Cool,9,60000,2-star hotel,8,Matale
Wildlife,Kurunegala,"Bundala National Park, Hambantota",Warm,15,23000,other,2,Hambantota
Cultural,Kurunegala,"Polonnaruwa Ruins, Polonnaruwa",Warm,1,11000,3-star hotel,8,Polonnaruwa
Lakeside,Ratnapura,"Parakrama Samudraya, Polonnaruwa",Moderate,7,12000,camping,4,Polonnaruwa
Lakeside,Kegalle,"Parakrama Samudraya, Polonnaruwa",Moderate,6,52000,3-star hotel,7,Polonnaruwa
Beach,Matale,"Passekudah Beach, Passekudah",Warm,15,109000,3-star hotel,4,Batticaloa
Lakeside,Trincomalee,"Victoria Dam, Kandy",Moderate,10,35000,cottage,3,Kandy
Cultural,Galle,"Jethawanaramaya, Anuradhapura",Warm,5,108000,5-star hotel,9,Anuradhapura
Beach,Ratnapura,"Negombo Beach, Negombo",Warm,10,18000,2-star hotel,2,Gampaha
Wildlife,Ratnapura,"Maduru Oya National Park, Polonnaruwa",Warm,11,69000,cottage,5,Polonnaruwa
Historical,Polonnaruwa,"Ruwanwelisaya, Anuradhapura",Warm,2,5000,cottage,2,Anuradhapura
Cultural,Matale,"Kataragama Temple, Kataragama",Warm,8,43000,other,8,Hambantota
Cultural,Kilinochchi,"Isurumuniya, Anuradhapura",Warm,11,32000,2-star hotel,3,Anuradhapura
Historical,Kegalle,"Galle Fort, Galle",Warm,9,171000,5-star hotel,7,Galle
Cultural,Mannar,"Gangaramaya Temple, Colombo",Warm,16,27000,guest houses,2,Colombo
Historical,Nuwara Eliya,"Yapahuwa Rock Fortress, Yapahuwa",Warm,20,87000,other,7,Kurunegala
Wildlife,Anuradhapura,"Maduru Oya National Park, Polonnaruwa",Warm,4,5000,cottage,1,Polonnaruwa
Historical,Matale,"Temple of the Tooth, Kandy",Moderate,17,119000,cottage,6,Kandy
Forest,Monaragala,"Hiyare Reservoir, Galle",Tropical,16,135000,3-star hotel,8,Galle
Lakeside,Mannar,"Nuwara Wewa, Anuradhapura",Moderate,12,147000,4-star hotel,8,Anuradhapura
Wildlife,Gampaha,"Lunugamvehera National Park, Hambantota",Warm,1,4000,4-star hotel,2,Hambantota
Forest,Kandy,"Kottawa Arboretum, Galle",Tropical,21,30000,2-star hotel,2,Galle
Wildlife,Jaffna,"Udawalawe National Park, Ratnapura",Warm,9,51000,villa,4,Ratnapura
Wildlife,Nuwara Eliya,"Sinharaja Forest Reserve, Galle",Warm,14,88000,2-star hotel,7,Galle
Lakeside,Matale,"Nuwara Wewa, Anuradhapura",Moderate,6,74000,4-star hotel,8,Anuradhapura
Historical,Hambantota,"Temple of the Tooth, Kandy",Moderate,2,22000,3-star hotel,8,Kandy
Forest,Kurunegala,"Namal Oya Forest, Ampara",Tropical,22,146000,2-star hotel,8,Ampara
Cultural,Matale,"Lovamahapaya, Anuradhapura",Warm,7,30000,3-star hotel,3,Anuradhapura
Wildlife,Matale,"Gal Oya National Park, Ampara",Warm,21,129000,2-star hotel,6,Ampara
Lakeside,Kandy,"Handapanagala Lake, Wellawaya",Moderate,8,11000,guest houses,2,Monaragala
Lakeside,Kurunegala,"Kala Wewa, Anuradhapura",Moderate,15,60000,cottage,4,Anuradhapura
Mountains,Batticaloa,"Thotupola Kanda, Nuwara Eliya",Cool,20,58000,guest houses,3,Nuwara Eliya
Forest,Ampara,"Hiyare Reservoir, Galle",Tropical,7,74000,5-star hotel,6,Galle
Historical,Kurunegala,"Sri Maha Bodhi, Anuradhapura",Warm,15,56000,cottage,3,Anuradhapura
Wildlife,Kegalle,"Wasgamuwa National Park, Matale",Warm,6,54000,4-star hotel,5,Matale
Lakeside,Batticaloa,"Gal Oya, Ampara",Moderate,20,42000,5-star hotel,1,Ampara
Cultural,Jaffna,"Jethawanaramaya, Anuradhapura",Warm,4,35000,cottage,7,Anuradhapura
Wildlife,Galle,"Wasgamuwa National Park, Matale",Warm,19,68000,4-star hotel,2,Matale
Cultural,Monaragala,"Kataragama Temple, Kataragama",Warm,16,108000,5-star hotel,3,Hambantota
Lakeside,Ampara,"Parakrama Samudraya, Polonnaruwa",Moderate,24,90000,other,6,Polonnaruwa
Historical,Monaragala,"Yapahuwa Rock Fortress, Yapahuwa",Warm,3,10000,4-star hotel,2,Kurunegala
Historical,Ampara,"Munneswaram Temple, Chilaw",Warm,6,18000,cottage,3,Puttalam
Cultural,Mannar,"Kataragama Temple, Kataragama",Warm,16,107000,villa,5,Hambantota
Mountains,Mannar,"Kabaragala, Nawalapitiya",Cool,21,306000,5-star hotel,7,Nuwara Eliya
Historical,Puttalam,"Thuparamaya, Anuradhapura",Warm,17,57000,camping,7,Anuradhapura
Wildlife,Matale,"Hurulu Eco Park, Polonnaruwa",Warm,11,63000,4-star hotel,3,Polonnaruwa
Lakeside,Kegalle,"Kandy Lake, Kandy",Moderate,16,69000,villa,3,Kandy
Forest,Nuwara Eliya,"Hiyare Reservoir, Galle",Tropical,23,126000,cottage,6,Galle
Forest,Polonnaruwa,"Kithulgala Forest Reserve, Kegalle",Tropical,4,10000,guest houses,3,Kegalle
Historical,Kilinochchi,"Thuparamaya, Anuradhapura",Warm,6,39000,other,9,Anuradhapura
Beach,Badulla,"Unawatuna Beach, Galle",Warm,8,8000,guest houses,1,Galle
Wildlife,Puttalam,"Gal Oya National Park, Ampara",Warm,6,18000,camping,6,Ampara
Cultural,Kandy,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,7,58000,5-star hotel,4,Colombo
Beach,Monaragala,"Beruwala Beach, Beruwala",Warm,1,4000,cottage,3,Kalutara
Wildlife,Batticaloa,"Sinharaja Forest Reserve, Galle",Warm,23,41000,guest houses,2,Galle
Cultural,Badulla,"Sigiriya, Sigiriya",Warm,5,47000,cottage,7,Matale
Lakeside,Mannar,"Kandy Lake, Kandy",Moderate,19,54000,villa,2,Kandy
Mountains,Hambantota,"Adam's Peak, Hatton",Cool,21,73000,other,6,Nuwara Eliya
Mountains,Monaragala,"Kirigalpotta, Nuwara Eliya",Cool,19,18000,camping,2,Nuwara Eliya
Lakeside,Nuwara Eliya,"Tissa Wewa, Tissamaharama",Moderate,5,11000,villa,2,Hambantota
Wildlife,Batticaloa,"Lunugamvehera National Park, Hambantota",Warm,8,15000,2-star hotel,2,Hambantota
Wildlife,Trincomalee,"Wasgamuwa National Park, Matale",Warm,9,56000,2-star hotel,7,Matale
Lakeside,Matara,"Madu River, Balapitiya",Moderate,7,151000,5-star hotel,9,Galle
Cultural,Gampaha,"Jethawanaramaya, Anuradhapura",Warm,21,15000,other,1,Anuradhapura
Cultural,Matara,"Isurumuniya, Anuradhapura",Warm,17,16000,guest houses,1,Anuradhapura
Mountains,Trincomalee,"Ritigala, Ritigala",Warm,20,141000,5-star hotel,4,Anuradhapura
Forest,Batticaloa,"Yagirala Forest Reserve, Kalutara",Tropical,18,52000,other,5,Kalutara
Forest,Batticaloa,"Sinharaja Forest Reserve, Deniyaya",Tropical,20,18000,2-star hotel,1,Matara
Cultural,Batticaloa,"Sigiriya, Sigiriya",Warm,3,12000,other,5,Matale
Beach,Kalutara,"Trincomalee Beach, Trincomalee",Warm,8,62000,other,9,Trincomalee
Cultural,Kalutara,"Abhayagiri Dagaba, Anuradhapura",Warm,15,43000,other,4,Anuradhapura
Mountains,Mullaitivu,"Adam's Peak, Hatton",Cool,8,9000,villa,1,Nuwara Eliya
Cultural,Kalutara,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,14,17000,other,2,Colombo
Lakeside,Kilinochchi,"Girithale Wewa, Polonnaruwa",Moderate,13,49000,other,6,Polonnaruwa
Cultural,Hambantota,"Yapahuwa Rock Fortress, Yapahuwa",Warm,11,96000,3-star hotel,7,Kurunegala
Lakeside,Batticaloa,"Kala Wewa, Anuradhapura",Moderate,9,7000,2-star hotel,1,Anuradhapura
Beach,Kilinochchi,"Passekudah Beach, Passekudah",Warm,14,9000,camping,1,Batticaloa
Beach,Batticaloa,"Trincomalee Beach, Trincomalee",Warm,15,202000,cottage,9,Trincomalee
Historical,Ratnapura,"Anuradhapura Sacred City, Anuradhapura",Warm,12,137000,villa,8,Anuradhapura
Mountains,Colombo,"Lipton’s Seat, Haputale",Cool,1,1000,villa,1,Badulla
Forest,Galle,"Sinharaja Forest Reserve, Deniyaya",Tropical,9,30000,other,5,Matara
Beach,Kurunegala,"Negombo Beach, Negombo",Warm,23,80000,cottage,3,Gampaha
Historical,Monaragala,"Kataragama Temple, Kataragama",Warm,10,20000,other,3,Hambantota
Mountains,Matara,"Hunas Falls, Kandy",Cool,21,339000,4-star hotel,9,Kandy
Forest,Matale,"Kottawa Arboretum, Galle",Tropical,5,32000,cottage,7,Galle
Forest,Trincomalee,"Sinharaja Forest Reserve, Deniyaya",Tropical,12,242000,5-star hotel,9,Matara
Cultural,Matale,"Yapahuwa Rock Fortress, Yapahuwa",Warm,5,9000,other,3,Kurunegala
Forest,Kilinochchi,"Meemure, Kandy",Tropical,4,42000,5-star hotel,5,Kandy
Wildlife,Colombo,"Minneriya National Park, Polonnaruwa",Warm,17,35000,2-star hotel,2,Polonnaruwa
Mountains,Kegalle,"Knuckles Mountain Range, Kandy",Cool,7,69000,villa,8,Kandy
Mountains,Kilinochchi,"Adam's Peak, Hatton",Cool,17,26000,camping,4,Nuwara Eliya
Forest,Kilinochchi,"Hiyare Reservoir, Galle",Tropical,8,34000,villa,4,Galle
Mountains,Batticaloa,"Nine Arches Bridge, Ella",Cool,17,294000,5-star hotel,9,Badulla
Cultural,Trincomalee,"Ruwanwelisaya, Anuradhapura",Warm,22,94000,villa,3,Anuradhapura
Beach,Polonnaruwa,"Hiriketiya Beach, Dickwella",Warm,1,1000,guest houses,1,Matara
Forest,Anuradhapura,"Makandawa Forest Reserve, Kitulgala",Tropical,12,36000,cottage,3,Kegalle
Historical,Gampaha,"Munneswaram Temple, Chilaw",Warm,10,35000,other,6,Puttalam
Beach,Mullaitivu,"Hikkaduwa Beach, Hikkaduwa",Warm,20,86000,camping,9,Galle
Forest,Badulla,"Makandawa Forest Reserve, Kitulgala",Tropical,16,28000,other,3,Kegalle
Cultural,Ratnapura,"Munneswaram Temple, Chilaw",Warm,7,67000,5-star hotel,5,Puttalam
Forest,Jaffna,"Meemure, Kandy",Tropical,7,41000,guest houses,7,Kandy
Wildlife,Mannar,"Bundala National Park, Hambantota",Warm,7,7000,guest houses,1,Hambantota
Cultural,Matale,"Galle Fort, Galle",Warm,23,75000,villa,2,Galle
Forest,Jaffna,"Dunhinda Falls, Badulla",Tropical,9,33000,villa,3,Badulla
Mountains,Anuradhapura,"Kalupahana, Badulla",Cool,14,75000,2-star hotel,7,Badulla
Cultural,Badulla,"Gangaramaya Temple, Colombo",Warm,15,12000,2-star hotel,1,Colombo
Mountains,Ratnapura,"Kalupahana, Badulla",Cool,18,69000,5-star hotel,2,Badulla
Lakeside,Gampaha,"Handapanagala Lake, Wellawaya",Moderate,9,76000,3-star hotel,8,Monaragala
Cultural,Hambantota,"Lovamahapaya, Anuradhapura",Warm,21,101000,5-star hotel,2,Anuradhapura
Cultural,Monaragala,"Dambulla Cave Temple, Dambulla",Warm,17,107000,2-star hotel,7,Matale
Historical,Matara,"Dambulla Cave Temple, Dambulla",Warm,12,27000,camping,5,Matale
Mountains,Ratnapura,"Knuckles Mountain Range, Matale",Cool,9,150000,5-star hotel,8,Matale
Lakeside,Mannar,"Victoria Reservoir, Kandy",Moderate,5,31000,guest houses,7,Kandy
Cultural,Galle,"Ruwanwelisaya, Anuradhapura",Warm,18,13000,other,1,Anuradhapura
Forest,Hambantota,"Knuckles Forest Reserve, Kandy",Tropical,9,12000,camping,3,Kandy
Wildlife,Matale,"Kumana National Park, Ampara",Warm,7,23000,guest houses,3,Ampara
Cultural,Colombo,"Temple of the Tooth, Kandy",Moderate,21,19000,camping,2,Kandy
Mountains,Trincomalee,"Devon Falls, Nuwara Eliya",Cool,12,48000,other,6,Nuwara Eliya
Forest,Monaragala,"Hiyare Reservoir, Galle",Tropical,7,6000,cottage,1,Galle
Beach,Matale,"Trincomalee Beach, Trincomalee",Warm,2,52000,5-star hotel,9,Trincomalee
Historical,Nuwara Eliya,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,20,33000,4-star hotel,1,Colombo
Wildlife,Hambantota,"Pigeon Island National Park, Trincomalee",Warm,14,81000,2-star hotel,5,Trincomalee
Beach,Kurunegala,"Bentota Beach, Bentota",Warm,16,91000,other,7,Kalutara
Cultural,Polonnaruwa,"Jethawanaramaya, Anuradhapura",Warm,4,4000,2-star hotel,1,Anuradhapura
Cultural,Colombo,"Yapahuwa Rock Fortress, Yapahuwa",Warm,22,41000,other,3,Kurunegala
Lakeside,Colombo,"Tissa Wewa, Tissamaharama",Moderate,17,39000,3-star hotel,2,Hambantota
Historical,Kurunegala,"Dambulla Cave Temple, Dambulla",Warm,13,70000,other,8,Matale
Cultural,Gampaha,"Galle Fort, Galle",Warm,10,44000,4-star hotel,2,Galle
Lakeside,Kurunegala,"Randenigala Dam, Kandy",Moderate,14,75000,2-star hotel,6,Kandy
Cultural,Kandy,"Isurumuniya, Anuradhapura",Warm,19,18000,camping,2,Anuradhapura
Beach,Anuradhapura,"Jungle Beach, Unawatuna",Warm,13,47000,camping,7,Galle
Beach,Mullaitivu,"Marble Beach, Trincomalee",Warm,22,107000,villa,3,Trincomalee
Historical,Puttalam,"Yapahuwa Rock Fortress, Yapahuwa",Warm,16,104000,cottage,6,Kurunegala
Beach,Hambantota,"Trincomalee Beach, Trincomalee",Warm,7,16000,2-star hotel,2,Trincomalee
Mountains,Puttalam,"Baker's Falls, Horton Plains",Cool,6,43000,3-star hotel,5,Nuwara Eliya
Wildlife,Colombo,"Wasgomuwa National Park, Matale",Warm,6,43000,4-star hotel,4,Matale
Historical,Galle,"Lovamahapaya, Anuradhapura",Warm,17,65000,camping,8,Anuradhapura
Historical,Monaragala,"Thuparamaya, Anuradhapura",Warm,4,58000,5-star hotel,6,Anuradhapura
Lakeside,Badulla,"Gal Oya, Ampara",Moderate,5,50000,4-star hotel,6,Ampara
Wildlife,Kegalle,"Maduru Oya National Park, Polonnaruwa",Warm,1,8000,guest houses,8,Polonnaruwa
Wildlife,Hambantota,"Gal Oya National Park, Ampara",Warm,15,12000,other,1,Ampara
Forest,Nuwara Eliya,"Knuckles Forest Reserve, Kandy",Tropical,13,82000,2-star hotel,7,Kandy
Forest,Colombo,"Hiyare Reservoir, Galle",Tropical,10,27000,cottage,3,Galle
Historical,Mullaitivu,"Anuradhapura Sacred City, Anuradhapura",Warm,20,25000,cottage,1,Anuradhapura
Wildlife,Matale,"Lunugamvehera National Park, Hambantota",Warm,9,103000,villa,8,Hambantota
Beach,Jaffna,"Trincomalee Beach, Trincomalee",Warm,18,52000,5-star hotel,1,Trincomalee
Wildlife,Kandy,"Wilpattu National Park, Anuradhapura",Warm,3,34000,cottage,8,Anuradhapura
Forest,Trincomalee,"Knuckles Forest Reserve, Kandy",Tropical,13,105000,2-star hotel,9,Kandy
Mountains,Ratnapura,"Thotupola Kanda, Nuwara Eliya",Cool,13,50000,4-star hotel,2,Nuwara Eliya
Beach,Batticaloa,"Arugam Bay, Ampara",Warm,9,52000,5-star hotel,2,Ampara
Beach,Anuradhapura,"Uppuveli Beach, Trincomalee",Warm,15,130000,5-star hotel,3,Trincomalee
Mountains,Kandy,"Lipton’s Seat, Haputale",Cool,11,40000,cottage,4,Badulla
Mountains,Kilinochchi,"Kirigalpotta, Nuwara Eliya",Cool,9,9000,2-star hotel,1,Nuwara Eliya
Historical,Galle,"Lovamahapaya, Anuradhapura",Warm,21,121000,other,8,Anuradhapura
Cultural,Mannar,"Dambulla Cave Temple, Dambulla",Warm,23,144000,2-star hotel,7,Matale
Forest,Matale,"Badulla Forest, Badulla",Tropical,21,113000,2-star hotel,7,Badulla
Mountains,Puttalam,"Nine Arches Bridge, Ella",Cool,23,53000,villa,2,Badulla
